HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Homework,Quiz,Lab,Overall,Grade
77.5,100,92.5,65,90,78,97,95,80,12,70.83333333,55.55555556,85,90,40.8,65.7,51,73,88.75,81.94,100,77.366,C
90,77.5,100,90,100,83,100,100,100,12,50,50,80,35,54.4,58.05,68,64.5,95.38,60,100,77.339,C
85,100,100,95,100,96,88,90,85,12,91.66666667,100,70,85,68,73.35,85,81.5,94.25,92.22,100,89.483,A-
100,100,100,90,94,98,97,85,91,12,83.33333333,77.77777778,55,80,70.4,65.7,88,73,96.25,80.37,100,86.7805,B+
75,85,92.5,55,51,68,76,80,80,12,66.66666667,50,50,85,68.8,63,86,70,76.44,67.22,100,77.715,C+
88.5,0,0,100,85,99,90,85,79,12,91.66666667,88.88888889,65,95,68.8,69.3,86,77,78.31,91.85,100,83.7205,B
77.5,100,92.5,90,95,97,100,90,0,11,100,66.66666667,85,95,61.6,81.9,77,91,92.75,93.33,100,89.9745,A-
72.5,100,100,95,100,83,88,60,85,12,91.66666667,72.22222222,75,90,71.2,74.7,89,83,90.44,85.56,100,88.516,A-
55,92.5,92.5,97.5,75,77,100,85,85,12,41.66666667,77.77777778,52.5,95,60.8,70.65,76,78.5,88.06,75.09,100,82.5065,B
90,90,90,90,90,93,67,0,0,11,75,100,0,0,69.6,61.2,87,68,76.25,58.33,100,76.0245,C
67.5,67.5,95,77.5,100,87.5,70,90,85,7,33.33333333,0,25,45,68.8,62.1,86,69,84.06,34.44,20,66.834,C-
73.5,80,100,100,90,89,94,90,0,12,66.66666667,77.77777778,75,85,63.2,60.75,79,67.5,89.56,79.26,100,81.432,B-
92.5,100,100,30,100,100,100,85,75,12,91.66666667,27.77777778,0,100,63.6,44.1,79.5,49,94.06,73.15,100,77.3405,C
65,50,72.5,90,80,0,0,62.5,0,8,83.33333333,72.22222222,50,0,65.6,63.45,82,70.5,52.5,68.52,40,64.053,C-
92.5,100,100,90,100,99,99,87.5,100,12,58.33333333,88.88888889,80,55,48.8,53.1,61,59,97.56,75.74,100,77.579,C+
88.5,92.5,95,60,85,0,0,100,0,11,58.33333333,0,40,35,56.8,49.95,71,55.5,65.12,44.44,100,64.277,C-
72.5,100,77.5,45,89,90,90,75,65,12,54.16666667,55.55555556,75,65,57.6,54,72,60,82.38,65.19,100,73.8925,C
87.5,100,82.5,90,100,90,100,80,85,12,58.33333333,72.22222222,30,55,61.6,24.3,77,27,91.88,61.85,100,68.9915,C-
77.5,77.5,95,100,99,92,80,87.5,85,11,33.33333333,44.44444444,65,60,61.6,44.1,77,49,89.5,56.48,100,72.972,C
73.5,72.5,60,0,80,0,0,60,0,11,66.66666667,55.55555556,40,0,68,49.5,85,55,43.25,54.07,100,61.8355,C-
100,85,92.5,100,90,99,0,100,100,12,66.66666667,100,100,85,61.2,80.1,76.5,89,95.81,95,100,90.543,A
94,100,100,100,100,98,100,100,100,12,100,83.33333333,70,85,71.2,77.85,89,86.5,99.75,89.44,100,92.766,A
97.5,100,97.5,100,100,86,100,90,100,12,91.66666667,100,65,90,62.4,80.1,78,89,98.12,93.89,100,91.3695,A
94.5,97,96,100,80,100,97,100,100,12,75,83.33333333,50,100,64,68.85,80,76.5,98.06,86.11,100,87.4595,B+
92.5,100,100,98,100,98,86,100,98,12,100,83.33333333,50,80,66.4,72,83,80,98.31,87.78,100,89.26,A-
100,100,100,65,95,94,100,95,100,12,100,55.55555556,80,90,70.4,80.1,88,89,98,90,100,92.75,A
100,85,100,100,100,99,97,80,95,12,100,100,95,100,80,84.6,100,94,97,100,100,97.6,A+
92.5,100,97.5,80,95,100,90,100,70,12,100,100,85,100,79.2,88.2,99,98,94.38,100,100,97.614,A+
95,85,100,70,0,99,95,95,100,12,91.66666667,72.22222222,50,90,77.6,86.4,97,96,92.38,84.63,100,93.8085,A
92.5,100,95,100,100,90,100,85,97.5,12,25,33.33333333,20,65,31.2,20.7,39,23,96.88,41.11,100,58.7805,D
92.5,100,97.5,100,100,99,92,100,85,12,91.66666667,88.88888889,95,95,63.2,68.85,79,76.5,97.62,93.89,100,88.2945,A-
87.5,87.5,100,60,95,72,70,80,0,12,83.33333333,61.11111111,60,0,62.4,62.1,78,69,81.5,68.15,100,77.5225,C+
80,0,77.5,20,0,37,67,50,85,10,33.33333333,16.66666667,30,40,50.4,58.5,63,65,52.06,34.44,80,57.634,D
82.5,95,90,77.5,100,95,84,85,100,12,83.33333333,88.88888889,80,75,46.4,61.2,58,68,91.44,84.07,100,78.6425,C+
82.5,97.5,75,50,42.5,86,61,85,100,12,58.33333333,61.11111111,35,80,55.2,49.95,69,55.5,79.62,66.48,100,71.533,C
96,99,91.5,70,93,86,65,75,90,12,66.66666667,38.88888889,30,70,41.6,35.1,52,39,87.56,58.52,100,65.196,C-
75,85,100,100,100,99,90,90,80,11,91.66666667,83.33333333,95,95,70.4,82.8,88,92,93,93.89,100,92.5835,A
92.5,100,100,90,100,99,100,95,100,12,91.66666667,77.77777778,75,65,66.4,70.2,83,78,98.31,81.48,100,87.815,B+
94.5,84,95,95,100,98,86,100,0,12,66.66666667,72.22222222,80,70,40.8,58.95,51,65.5,94.06,74.07,100,75.9035,C
72.5,77.5,0,75,85,0,0,0,65,10,0,27.77777778,35,35,19.2,18.45,24,20.5,46.88,32.59,80,36.8775,F
100,79,85,95,85,91,79,75,92,12,91.66666667,44.44444444,90,90,64,63.9,80,71,88.25,90.56,100,83.809,B
92.5,100,100,90,98,99,97,100,95,12,66.66666667,66.66666667,55,75,25.6,54.9,32,61,97.69,69.44,100,71.373,C
100,100,90,100,100,94,100,100,0,11,100,77.77777778,75,0,72,72.9,90,81,98,84.26,100,90.289,A
93,73,100,88,100,96,80,95,95,10,100,50,65,60,76,65.25,95,72.5,93.38,75,80,84.389,B
100,85,97.5,100,95,0,89,90,90,11,79.16666667,94.44444444,50,85,49.6,66.6,62,74,93.31,86.2,100,81.823,B-
92.5,100,100,70,100,100,100,100,85,12,75,88.88888889,95,0,67.2,72.45,84,80.5,97.19,86.3,100,89.027,A-
92.5,92.5,90,90,100,90,100,90,85,12,83.33333333,72.22222222,85,100,63.2,86.4,79,96,93.12,89.44,100,91.152,A
68,55.5,85,0,65,50,52,0,20,10,50,50,30,35,43.2,28.8,54,32,49.44,45,80,48.382,F
92.5,92.5,100,90,100,100,100,0,80,12,95.83333333,100,0,100,70.4,78.3,88,87,94.38,98.61,100,92.4555,A
57.5,100,100,0,80,93,76,75,95,12,75,72.22222222,70,90,79.2,66.6,99,74,84.56,79.07,100,85.5285,B
89.5,57,95,90,0,98,0,75,100,9,75,77.77777778,45,55,37.6,71.1,47,79,75.56,69.26,60,68.207,C-
89.5,79,97.5,100,90,99,100,100,99,12,100,88.88888889,75,90,68.8,85.95,86,95.5,96.88,92.96,100,94.083,A
75,100,92.5,100,100,99,100,90,100,12,83.33333333,88.88888889,95,100,77.6,77.4,97,86,97.69,94.63,100,94.4015,A
87.5,92.5,90,80,90,80,89,90,55,12,75,77.77777778,80,100,52,71.1,65,79,87.38,85.93,100,81.8535,B-
57.5,70,82.5,0,55,0,51,45,0,11,83.33333333,38.88888889,57.5,0,40,55.8,50,62,45.12,59.91,100,58.0225,D
52.5,77.5,97.5,50,95,80,79,90,50,12,66.66666667,38.88888889,65,90,46.4,52.65,58,58.5,77.69,73.89,100,70.6155,C
82.5,0,92.5,80,93,98,85,100,85,12,83.33333333,77.77777778,55,90,68.8,75.15,86,83.5,89.5,83.7,100,87.48,B+
62.5,70,87.5,60,100,80,84,95,80,12,41.66666667,88.88888889,65,75,42.4,63.9,53,71,82.38,76.3,100,74.509,C
65,55,87.5,90,90,72,77,0,80,12,83.33333333,72.22222222,57.5,80,68,75.6,85,84,77.06,78.52,100,82.896,B
85,90,90,20,95,85,97,75,80,12,58.33333333,27.77777778,50,30,59.52,57.6,74.4,64,87.12,46.11,100,73.9325,C
100,100,100,100,100,75,100,95,65,12,95.83333333,72.22222222,45,85,50.4,68.4,63,76,96.25,84.35,100,83.1275,B
87.5,100,92.5,100,100,100,90,100,100,12,83.33333333,88.88888889,75,85,69.6,81,87,90,97.81,85.74,100,92.104,A
92.5,70,85,80,100,97,79,100,85,12,83.33333333,100,95,100,76.8,68.4,96,76,89.81,98.33,100,89.8925,A-
62.5,80,75,100,95,95,100,85,100,12,75,100,80,75,56.8,53.55,71,59.5,91.25,85,100,79.2,C+
87,100,100,100,99,99,100,100,96,11,50,66.66666667,70,90,64,78.75,80,87.5,99.25,75.56,100,88.984,A-
60,75,100,0,100,94,100,90,100,10,50,33.33333333,25,40,69.6,44.55,87,49.5,89.88,41.11,80,70.9055,C
79,96.5,92.5,100,100,98,87,100,82,12,100,77.77777778,75,100,66.4,70.65,83,78.5,94.5,92.59,100,88.4635,A-
87.5,97.5,95,90,90,88,100,60,100,12,66.66666667,83.33333333,67.5,0,68.8,70.2,86,78,93.5,72.5,100,85.625,B
60,82.5,92.5,80,0,73,85.5,100,85,11,75,50,57.5,65,76.8,74.7,96,83,82.31,65.83,100,84.5175,B
90,100,100,100,95,99,100,95,100,12,100,100,80,90,64.8,72.9,81,81,98.62,96.67,100,90.5365,A
92.5,100,100,100,100,99,100,100,95,12,83.33333333,66.66666667,70,95,71.2,76.5,89,85,99.25,82.78,100,91.242,A
87.5,100,65,70,0,76,80,100,98,9,50,33.33333333,55,95,53.6,70.2,67,78,84.56,66.67,60,74.2685,C
0,85,100,100,100,99,100,97.5,100,12,66.66666667,77.77777778,70,75,60,81,75,90,97.69,74.26,100,87.946,B+
70,70,55,65,72.5,58,47,60,80,12,91.66666667,55.55555556,75,100,65.6,58.05,82,64.5,66.31,88.89,100,75.7515,C
82.5,77.5,100,90,95,93,84,100,85,12,100,77.77777778,85,45,59.2,70.2,74,78,91.19,87.59,100,84.7955,B
100,85,100,100,100,87,97,90,100,12,66.66666667,100,85,90,64,66.15,80,73.5,96.75,91.67,100,87.1505,B+
82.5,100,92.5,80,100,99,100,80,100,12,100,100,90,100,71.2,89.1,89,99,94.25,100,100,95.825,A+
0,80,100,95,78,90,77,75,97,11,83.33333333,66.66666667,55,85,58.4,59.85,73,66.5,86.5,78.33,100,78.9245,C+
77.5,0,92.5,90,85,66,48,70,85,12,50,50,25,30,28,40.05,35,44.5,76.75,43.33,100,57.6495,D
92.5,72.5,72.5,30,0,83,100,0,85,12,58.33333333,44.44444444,35,15,20.8,18.45,26,20.5,66.94,45.93,100,47.2965,F
92.5,100,100,100,100,99,97,100,85,12,91.66666667,100,95,100,71.2,79.65,89,88.5,98.56,98.33,100,94.2425,A
73.5,85,95,90,99,88,97,90,100,12,50,77.77777778,45,70,75.2,64.8,94,72,93,65.93,100,84.5895,B
92.5,100,100,100,100,100,92,0,95,12,91.66666667,94.44444444,75,100,78.4,80.1,98,89,97.44,95.37,100,95.3875,A+
92.5,92.5,97.5,80,97,100,89,90,60,11,87.5,66.66666667,30,70,51.2,44.1,64,49,92.31,74.72,100,73.951,C
52.5,47.5,97.5,75,65,81,79,90,65,10,75,44.44444444,40,75,39.2,60.3,49,67,75.62,64.81,80,66.9575,C-
77.5,92.5,77.5,90,93,90,90,55,65,11,66.66666667,44.44444444,30,50,64,49.05,80,54.5,84.44,53.7,100,73.012,C
72.5,65,90,70,75,84,65,80,85,11,83.33333333,61.11111111,80,95,64,71.1,80,79,77.69,86.11,100,81.9735,B-
78.5,0,72.5,90,95,87,97,100,100,11,50,77.77777778,85,65,56,60.75,70,67.5,90,75.93,100,79.2645,C+
80,100,95,70,87.5,90,96,100,85,12,91.66666667,61.11111111,55,95,61.6,80.55,77,89.5,91.69,82.59,100,87.6705,B+
62.5,0,77.5,90,100,98,100,90,100,12,100,94.44444444,35,90,76,74.25,95,82.5,89.75,94.81,100,90.7715,A
94,100,100,90,100,99,100,95,95,12,91.66666667,77.77777778,80,90,56.8,65.25,71,72.5,97.88,87.22,100,84.772,B
66,85,90,90,100,0,65,95,100,12,83.33333333,22.22222222,75,65,42.4,36.9,53,41,86.38,74.44,100,67.93,C-
77.5,85,85,60,100,100,86,100,80,12,75,83.33333333,75,65,44,60.3,55,67,89.19,77.78,100,76.174,C
87.5,77.5,100,95,95,100,0,75,75,12,95.83333333,88.88888889,75,100,67.2,72.9,84,81,88.12,94.91,100,87.7225,B+
99.5,100,100,90,72.5,100,97,100,98,12,91.66666667,100,75,90,56,70.2,70,78,98.06,93.89,100,87.0015,B+
82.5,100,95,80,95,96,100,80,85,12,100,77.77777778,85,90,72,76.5,90,85,91.69,91.67,100,90.5075,A
85,95,85,100,100,98,88,90,85,12,100,50,65,95,64.8,67.5,81,75,92.62,86.67,100,85.7365,B
52.5,92.5,97.5,0,91.25,0,0,0,0,10,58.33333333,0,0,0,43.2,20.7,54,23,41.72,19.44,80,39.982,F
87.5,77.5,100,60,100,89,83,80,80,12,83.33333333,77.77777778,65,80,59.2,71.55,74,79.5,87.12,80.37,100,82.8665,B
92.5,100,95,100,100,99,100,85,98,12,100,88.88888889,75,95,80,84.15,100,93.5,98.06,94.63,100,96.9875,A+
47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,75,61.11111111,45,100,47.2,62.1,59,69,88.88,78.7,100,77.519,C+
98,94,77.5,90,95,97,100,90,99,12,91.66666667,72.22222222,55,75,60.8,48.6,76,54,95.38,79.63,100,79.2585,C+
80.5,85,100,90,95,96,86,60,100,12,66.66666667,77.77777778,75,95,76.8,66.15,96,73.5,91.56,82.59,100,87.4315,B+
60,0,90,0,0,91,0,47.5,66,11,75,72.22222222,30,100,62.4,53.55,78,59.5,44.31,82.41,100,66.1295,C-
0,50,42.5,80,100,83,71,75,50,12,66.66666667,61.11111111,55,35,14.4,39.6,18,44,68.94,60.93,100,54.4215,D
92.5,85,100,70,90,96,100,100,100,11,75,66.66666667,45,95,67.2,64.8,84,72,95.44,78.89,100,85.2655,B
92.5,100,100,100,100,0,90,100,100,11,91.66666667,61.11111111,65,80,78.4,75.6,98,84,97.81,78.89,100,91.7765,A
87.5,100,97.5,100,90,80,100,80,94,12,75,72.22222222,60,75,54.4,53.1,68,59,93.62,74.07,100,77.5465,C+
65,100,90,90,100,99,86,72.5,75,12,100,88.88888889,80,95,71.2,72.9,89,81,89.06,94.63,100,88.9625,A-
92.5,100,100,100,95,100,86,100,80,12,95.83333333,72.22222222,60,100,62.4,74.25,78,82.5,96.69,89.35,100,88.6345,A-
82.5,100,95,100,0,100,92,100,100,12,58.33333333,100,65,80,68.8,63.9,86,71,96.19,81.67,100,86.0575,B+
0,75,67.5,90,80,71,0,50,0,8,83.33333333,61.11111111,25,35,64,44.55,80,49.5,54.19,59.81,40,57.6035,D
82.5,87.5,85,35,60,95,87,100,85,11,58.33333333,94.44444444,95,100,71.2,81,89,90,85.25,96.48,100,90.347,A
82.5,100,85,90,95,85,90,100,82.5,12,100,55.55555556,65,75,46.4,71.1,58,79,90.94,80,100,80.632,B-
72.5,100,100,100,100,80,76,85,98,12,91.66666667,72.22222222,70,100,74.4,80.1,93,89,92.38,87.96,100,91.758,A
72.5,70,100,90,100,95,97,100,85,12,100,88.88888889,75,80,72,75.15,90,83.5,92.44,89.63,100,90.0515,A
0,0,0,10,0,0,53.5,70,32,9,33.33333333,0,55,45,32.8,56.7,41,63,20.69,44.44,60,42.823,F
88.5,99,0,0,85,0,0,85,85,12,75,50,80,70,57.6,50.85,72,56.5,55.31,75,100,66.368,C-
95,95,100,100,95,99,100,100,100,12,91.66666667,88.88888889,65,100,65.6,81,82,90,98.62,93.52,100,92.514,A
72.5,92.5,100,90,95,89,83,95,100,12,91.66666667,22.22222222,60,75,60.8,57.15,76,63.5,93.06,75.56,100,80.327,B-
100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89.1,100,99,97,100,100,98.85,A+
92.5,75,100,100,96.25,96,100,90,100,12,75,88.88888889,70,90,61.6,74.7,77,83,96.84,84.63,100,87.8965,B+
